dealId,date,city,neighborhood,street,rooms,floor,sqm,priceNis,propertyType,yearBuilt
TLV-001,2020-03-12,תל אביב,רמת אביב,ברודצקי,4,3,98,2450000,דירה,1998
TLV-002,2020-07-21,תל אביב,רמת אביב,ברודצקי,3,2,76,1980000,דירה,2001
TLV-003,2020-11-04,תל אביב,רמת אביב,חיים לבנון,5,6,128,3180000,דירה,2010
TLV-004,2021-02-18,תל אביב,רמת אביב,ברודצקי,4,4,102,2680000,דירה,1998
TLV-005,2021-06-09,תל אביב,רמת אביב,קקל,3,1,72,1890000,דירה,1987
TLV-006,2021-10-27,תל אביב,רמת אביב,חיים לבנון,4,8,110,3120000,דירה,2012
TLV-007,2022-01-15,תל אביב,רמת אביב,ברודצקי,5,5,135,3650000,דירה,2005
TLV-008,2022-05-03,תל אביב,רמת אביב,קקל,4,2,95,2550000,דירה,1992
TLV-009,2022-09-19,תל אביב,רמת אביב,חיים לבנון,3,7,80,2480000,דירה,2014
TLV-010,2023-03-11,תל אביב,רמת אביב,ברודצקי,4,3,100,3380000,דירה,1999
TLV-011,2023-08-22,תל אביב,רמת אביב,קקל,3,4,78,2420000,דירה,1989
TLV-012,2024-01-08,תל אביב,רמת אביב,חיים לבנון,5,9,140,4450000,דירה,2016
TLV-013,2024-06-14,תל אביב,רמת אביב,ברודצקי,4,6,105,3720000,דירה,2003
TLV-014,2025-02-02,תל אביב,רמת אביב,קקל,4,3,96,3280000,דירה,1995
TLV-015,2025-07-19,תל אביב,רמת אביב,חיים לבנון,3,5,82,2950000,דירה,2011
TLV-016,2020-04-08,תל אביב,הצפון הישן,דיזנגוף,3,2,70,2650000,דירה,1965
TLV-017,2020-09-16,תל אביב,הצפון הישן,בן יהודה,2,1,48,1980000,דירה,1958
TLV-018,2021-01-29,תל אביב,הצפון הישן,דיזנגוף,4,5,92,3450000,דירה,1972
TLV-019,2021-07-07,תל אביב,הצפון הישן,פרישמן,3,3,68,2780000,דירה,1968
TLV-020,2022-02-23,תל אביב,הצפון הישן,בן יהודה,3,4,74,3120000,דירה,1975
TLV-021,2022-08-30,תל אביב,הצפון הישן,דיזנגוף,2,6,52,2480000,דירה,1962
TLV-022,2023-04-12,תל אביב,הצפון הישן,פרישמן,4,2,88,3980000,דירה,1980
TLV-023,2023-11-05,תל אביב,הצפון הישן,דיזנגוף,3,8,76,3650000,דירה,1970
TLV-024,2024-04-21,תל אביב,הצפון הישן,בן יהודה,4,3,90,4280000,דירה,1978
TLV-025,2024-10-09,תל אביב,הצפון הישן,פרישמן,3,5,71,3520000,דירה,1966
TLV-026,2025-03-18,תל אביב,הצפון הישן,דיזנגוף,5,7,118,5450000,דירה,1985
TLV-027,2025-08-01,תל אביב,הצפון הישן,בן יהודה,3,2,73,3850000,דירה,1964
TLV-028,2020-05-20,תל אביב,פלורנטין,הרצל,3,1,62,1680000,דירה,1952
TLV-029,2020-12-02,תל אביב,פלורנטין,וולפסון,2,3,44,1250000,דירה,1948
TLV-030,2021-04-14,תל אביב,פלורנטין,הרצל,4,2,85,2280000,דירה,1960
TLV-031,2021-09-25,תל אביב,פלורנטין,דרך יפו,3,4,70,1980000,דירה,1955
TLV-032,2022-03-08,תל אביב,פלורנטין,וולפסון,3,5,66,2050000,דירה,2018
TLV-033,2022-11-17,תל אביב,פלורנטין,הרצל,2,2,48,1580000,דירה,1950
TLV-034,2023-05-29,תל אביב,פלורנטין,דרך יפו,4,6,92,2780000,דירה,2019
TLV-035,2023-12-13,תל אביב,פלורנטין,וולפסון,3,3,68,2320000,דירה,1956
TLV-036,2024-05-06,תל אביב,פלורנטין,הרצל,5,4,110,3250000,דירה,2020
TLV-037,2024-11-22,תל אביב,פלורנטין,דרך יפו,3,1,64,2180000,דירה,1954
TLV-038,2025-04-04,תל אביב,פלורנטין,וולפסון,4,7,88,2980000,דירה,2021
TLV-039,2025-08-16,תל אביב,פלורנטין,הרצל,3,2,71,2520000,דירה,1961
RGN-001,2021-03-03,רמת גן,תל בנימין,ביאליק,4,3,105,2350000,דירה,1990
RGN-002,2022-06-18,רמת גן,תל בנימין,ביאליק,3,2,82,1980000,דירה,1988
RGN-003,2023-09-07,רמת גן,תל בנימין,הרא"ה,5,8,132,3180000,דירה,2008
RGN-004,2024-07-25,רמת גן,תל בנימין,ביאליק,4,5,108,2780000,דירה,1994
RGN-005,2025-05-11,רמת גן,תל בנימין,הרא"ה,3,4,86,2420000,דירה,2001
TLV-040,2024-08-12,תל אביב,רמת אביב,ברודצקי,2,1,54,1680000,דירה,1985
